date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:37:01	50251/50251	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Nov%202022%2018:37:00%20GMT	https://www.tuasaude.com/calculadora/imc/	C:/My%20Web%20Sites/calculadeira/www.tuasaude.com/calculadora/imc/index.html	(from )
18:37:01	90/90	---M-Z	200	added ('OK')	text/plain	date:Fri,%2018%20Nov%202022%2018:37:01%20GMT	https://www.tuasaude.com/robots.txt		(from )
18:37:01	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2018%20Nov%202022%2018:37:01%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/calculadeira/www.googletagmanager.com/gtm.05445.delayed	(from https://www.tuasaude.com/calculadora/imc/)
18:37:02	67159/67159	---MCZ	200	added ('OK')	text/css	date:Tue,%2015%20Nov%202022%2010:39:30%20GMT	https://static.tuasaude.com/assets/l2021-desktop-article-1395.css	C:/My%20Web%20Sites/calculadeira/static.tuasaude.com/assets/l2021-desktop-article-1395.css	(from https://www.tuasaude.com/calculadora/imc/)
18:37:04	105267/105267	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2018%20Nov%202022%2018:37:02%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/calculadeira/connect.facebook.net/en_US/fbevents.js	(from https://www.tuasaude.com/calculadora/imc/)
18:37:05	6044/6044	---MC-	200	added ('OK')	image/png	date:Sun,%2017%20Jul%202022%2023:29:06%20GMT	https://static.tuasaude.com/img/joana-2021/logo-s1xp.png	C:/My%20Web%20Sites/calculadeira/static.tuasaude.com/img/joana-2021/logo-s1xp.png	(from https://www.tuasaude.com/calculadora/imc/)
18:37:05	5760/5760	---MC-	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2019:03:52%20GMT	https://static.tuasaude.com/img/logo.png	C:/My%20Web%20Sites/calculadeira/static.tuasaude.com/img/logo.png	(from https://www.tuasaude.com/calculadora/imc/)
18:37:05	50230/50230	---MC-	200	added ('OK')	text/javascript	date:Tue,%2027%20Sep%202022%2022:01:05%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/calculadeira/www.google-analytics.com/analytics.js	(from https://www.tuasaude.com/calculadora/imc/)
18:37:06	1725/1725	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Apr%202022%2015:57:24%20GMT	https://static.tuasaude.com/media/author/ac/cb/577e489ede81e/s2.jpg	C:/My%20Web%20Sites/calculadeira/static.tuasaude.com/media/author/ac/cb/577e489ede81e/s2.jpg	(from https://www.tuasaude.com/calculadora/imc/)
18:37:06	1936/1936	---M--	200	added ('OK')	image/gif	date:Tue,%2021%20Jun%202022%2022:18:11%20GMT	https://static.tuasaude.com/img/honcode.gif	C:/My%20Web%20Sites/calculadeira/static.tuasaude.com/img/honcode.gif	(from https://www.tuasaude.com/calculadora/imc/)
18:37:06	24240/24240	---MCZ	200	added ('OK')	application/javascript	etag:W/%224d482a43613d3966f353ec9d97452e0c%22	https://diffuser-cdn.app-us1.com/diffuser/diffuser.js	C:/My%20Web%20Sites/calculadeira/diffuser-cdn.app-us1.com/diffuser/diffuser.js	(from https://www.tuasaude.com/calculadora/imc/)
18:37:07	77258/77258	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2015%20Nov%202022%2010:39:30%20GMT	https://static.tuasaude.com/assets/v2-1395.js	C:/My%20Web%20Sites/calculadeira/static.tuasaude.com/assets/v2-1395.js	(from https://www.tuasaude.com/calculadora/imc/)
18:37:07	128/128	---MC-	200	added ('OK')	image/png	date:Sat,%2012%20Nov%202022%2004:37:57%20GMT	https://static.tuasaude.com/img/message/x.png	C:/My%20Web%20Sites/calculadeira/static.tuasaude.com/img/message/x.png	(from https://static.tuasaude.com/assets/l2021-desktop-article-1395.css)
18:37:07	12703/12703	---MC-	200	added ('OK')	image/png	date:Sun,%2024%20Jul%202022%2019:52:50%20GMT	https://static.tuasaude.com/img/stuff/coronavirus-4.png	C:/My%20Web%20Sites/calculadeira/static.tuasaude.com/img/stuff/coronavirus-4.png	(from https://static.tuasaude.com/assets/l2021-desktop-article-1395.css)
18:37:07	987/987	---MC-	200	added ('OK')	image/png	date:Tue,%2004%20Oct%202022%2008:04:27%20GMT	https://static.tuasaude.com/img/message/x-black.png	C:/My%20Web%20Sites/calculadeira/static.tuasaude.com/img/message/x-black.png	(from https://static.tuasaude.com/assets/l2021-desktop-article-1395.css)
18:37:07	774/774	---MC-	200	added ('OK')	image/png	date:Tue,%2020%20Sep%202022%2015:55:24%20GMT	https://static.tuasaude.com/img/heart-icon.png	C:/My%20Web%20Sites/calculadeira/static.tuasaude.com/img/heart-icon.png	(from https://static.tuasaude.com/assets/l2021-desktop-article-1395.css)
18:37:08	678/678	---MC-	200	added ('OK')	image/png	date:Sun,%2013%20Nov%202022%2018:30:03%20GMT	https://static.tuasaude.com/img/egg-icon.png	C:/My%20Web%20Sites/calculadeira/static.tuasaude.com/img/egg-icon.png	(from https://static.tuasaude.com/assets/l2021-desktop-article-1395.css)
18:37:09	659/659	---MC-	200	added ('OK')	image/png	date:Wed,%2005%20Oct%202022%2020:26:35%20GMT	https://static.tuasaude.com/img/blood-icon.png	C:/My%20Web%20Sites/calculadeira/static.tuasaude.com/img/blood-icon.png	(from https://static.tuasaude.com/assets/l2021-desktop-article-1395.css)
18:37:09	250/250	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Nov%202022%2018:37:09%20GMT	https://www.tuasaude.com/calculadora/imc/c	C:/My%20Web%20Sites/calculadeira/www.tuasaude.com/calculadora/imc/c	(from https://connect.facebook.net/en_US/fbevents.js)
18:37:09	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Nov%202022%2018:37:09%20GMT	https://www.tuasaude.com/calculadora/imc/c/	C:/My%20Web%20Sites/calculadeira/www.tuasaude.com/calculadora/imc/c/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
18:37:09	250/250	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Nov%202022%2018:37:09%20GMT	https://www.tuasaude.com/calculadora/imc/b	C:/My%20Web%20Sites/calculadeira/www.tuasaude.com/calculadora/imc/b.11.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
18:37:10	253/253	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Nov%202022%2018:37:10%20GMT	https://www.tuasaude.com/calculadora/imc/POST	C:/My%20Web%20Sites/calculadeira/www.tuasaude.com/calculadora/imc/POST	(from https://connect.facebook.net/en_US/fbevents.js)
18:37:10	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Nov%202022%2018:37:10%20GMT	https://www.tuasaude.com/calculadora/imc/POST/	C:/My%20Web%20Sites/calculadeira/www.tuasaude.com/calculadora/imc/POST/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
18:37:10	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Nov%202022%2018:37:10%20GMT	https://www.tuasaude.com/calculadora/imc/b/	C:/My%20Web%20Sites/calculadeira/www.tuasaude.com/calculadora/imc/b/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
